School,School Code,Attendance Year,School Type,School Category,EQ Zone,Region,Local Government Area,FTE Days Attended,Possible Attendance Days,Attendance Rate
Dulacca State School,1170,2011,State School,Primary,Remote,Darling Downs South West,Western Downs (R),3320.5,3401,97.6%
Dulacca State School,1170,2012,State School,Primary,Remote,Darling Downs South West,Western Downs (R),3139,3335,94.1%
Dulacca State School,1170,2013,State School,Primary,Remote,Darling Downs South West,Western Downs (R),2844,2993,95.0%
Dulacca State School,1170,2014,State School,Primary,Remote,Darling Downs South West,Western Downs (R),2700,2845,94.9%
Dulacca State School,1170,2015,State School,Primary,Remote,Darling Downs South West,Western Downs (R),2060,2182,94.4%
Dundula State School,1779,2011,State School,Primary,Provincial City,Central Queensland,Mackay (R),7232.5,8054,89.8%
Dundula State School,1779,2012,State School,Primary,Provincial City,Central Queensland,Mackay (R),4977.5,5646,88.2%
Dundula State School,1779,2013,State School,Primary,Provincial City,Central Queensland,Mackay (R),5522.5,6039,91.4%
Dundula State School,1779,2014,State School,Primary,Provincial City,Central Queensland,Mackay (R),5379.5,5957,90.3%
Dundula State School,1779,2015,State School,Primary,Provincial City,Central Queensland,Mackay (R),3381.5,3860,87.6%
Dunkeld State School,934,2011,State School,Primary,Remote,Darling Downs South West,Maranoa (R),971.5,1089,89.2%
Dunkeld State School,934,2012,State School,Primary,Remote,Darling Downs South West,Maranoa (R),852.5,1012,84.2%
Dunkeld State School,934,2013,State School,Primary,Remote,Darling Downs South West,Maranoa (R),921,994,92.7%
Dunkeld State School,934,2014,State School,Primary,Remote,Darling Downs South West,Maranoa (R),838.5,865,96.9%
Dunkeld State School,934,2015,State School,Primary,Remote,Darling Downs South West,Maranoa (R),731,768,95.2%
Dunwich State School,784,2011,State School,Primary,Rural,South East,Redland (C),15091,16388,92.1%
Dunwich State School,784,2012,State School,Primary,Rural,South East,Redland (C),12975,14214,91.3%
Dunwich State School,784,2013,State School,Primary,Rural,South East,Redland (C),10666,11863.5,89.9%
Dunwich State School,784,2014,State School,Primary,Rural,South East,Redland (C),12260.5,13976,87.7%
Dunwich State School,784,2015,State School,Primary,Rural,South East,Redland (C),13267,14632,90.7%
Durack State School,959,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),37736.5,41066,91.9%
Durack State School,959,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),38830,42031,92.4%
Durack State School,959,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),41699.5,45219,92.2%
Durack State School,959,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),48180.5,51703,93.2%
Durack State School,959,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),49433,52883,93.5%
Durong South State School,1667,2011,State School,Primary,Rural,Darling Downs South West,South Burnett (R),3403,3760,90.5%
Durong South State School,1667,2012,State School,Primary,Rural,Darling Downs South West,South Burnett (R),3063.5,3297,92.9%
Durong South State School,1667,2013,State School,Primary,Rural,Darling Downs South West,South Burnett (R),2848.5,3125,91.2%
Durong South State School,1667,2014,State School,Primary,Rural,Darling Downs South West,South Burnett (R),2665.5,3023,88.2%
Durong South State School,1667,2015,State School,Primary,Rural,Darling Downs South West,South Burnett (R),2075,2279,91.0%
Dutton Park State School,506,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),23942,25683,93.2%
Dutton Park State School,506,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),24053.5,25842,93.1%
Dutton Park State School,506,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),24830.5,26499,93.7%
Dutton Park State School,506,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),27796.5,29409,94.5%
Dutton Park State School,506,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),26697.5,28135.5,94.9%
Dysart State High School,2156,2011,State High School,Secondary,Remote,Central Queensland,Isaac (R),15067,17663,85.3%
Dysart State High School,2156,2012,State High School,Secondary,Remote,Central Queensland,Isaac (R),12764,14960,85.3%
Dysart State High School,2156,2013,State High School,Secondary,Remote,Central Queensland,Isaac (R),12346.5,13993.5,88.2%
Dysart State High School,2156,2014,State High School,Secondary,Remote,Central Queensland,Isaac (R),11966,12961,92.3%
Dysart State High School,2156,2015,State High School,Secondary,Remote,Central Queensland,Isaac (R),13238,14358,92.2%
Dysart State School,97,2011,State School,Primary,Remote,Central Queensland,Isaac (R),32299,36530,88.4%
Dysart State School,97,2012,State School,Primary,Remote,Central Queensland,Isaac (R),27575.5,30671.5,89.9%
Dysart State School,97,2013,State School,Primary,Remote,Central Queensland,Isaac (R),29873,33044.5,90.4%
Dysart State School,97,2014,State School,Primary,Remote,Central Queensland,Isaac (R),34116,37713,90.5%
Dysart State School,97,2015,State School,Primary,Remote,Central Queensland,Isaac (R),30358.5,33210,91.4%
Eagle Junction State School,726,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),69307,73054,94.9%
Eagle Junction State School,726,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),67384,70900,95.0%
Eagle Junction State School,726,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),69260.5,72670,95.3%
Eagle Junction State School,726,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),76748.5,80580,95.2%
Eagle Junction State School,726,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),75300.5,78878,95.5%
Eagleby South State School,1876,2011,State School,Primary,Metropolitan,South East,Logan (C),23672.5,26309,90.0%
Eagleby South State School,1876,2012,State School,Primary,Metropolitan,South East,Logan (C),26330,29231,90.1%
Eagleby South State School,1876,2013,State School,Primary,Metropolitan,South East,Logan (C),25806,29043,88.9%
Eagleby South State School,1876,2014,State School,Primary,Metropolitan,South East,Logan (C),34781,39723,87.6%
Eagleby South State School,1876,2015,State School,Primary,Metropolitan,South East,Logan (C),32538.5,37301.5,87.2%
Eagleby State School,1974,2011,State School,Primary,Metropolitan,South East,Logan (C),28374.5,30850,92.0%
Eagleby State School,1974,2012,State School,Primary,Metropolitan,South East,Logan (C),32198,35410.5,90.9%
Eagleby State School,1974,2013,State School,Primary,Metropolitan,South East,Logan (C),35868.5,40252,89.1%
Eagleby State School,1974,2014,State School,Primary,Metropolitan,South East,Logan (C),41699,46378,89.9%
Eagleby State School,1974,2015,State School,Primary,Metropolitan,South East,Logan (C),40510,45754,88.5%
Earnshaw State College,5180,2011,State School,Combined,Metropolitan,Metropolitan,Brisbane (C),50948.5,57218,89.0%
Earnshaw State College,5180,2012,State School,Combined,Metropolitan,Metropolitan,Brisbane (C),53256.5,59444,89.6%
Earnshaw State College,5180,2013,State School,Combined,Metropolitan,Metropolitan,Brisbane (C),54157,59317.5,91.3%
Earnshaw State College,5180,2014,State School,Combined,Metropolitan,Metropolitan,Brisbane (C),57426.5,63247,90.8%
Earnshaw State College,5180,2015,State School,Combined,Metropolitan,Metropolitan,Brisbane (C),61714,68028,90.7%
East Brisbane State School,877,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),17398.5,19048,91.3%
East Brisbane State School,877,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),16453,17803,92.4%
East Brisbane State School,877,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),16920.5,18433,91.8%
East Brisbane State School,877,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),17963.5,19043,94.3%
East Brisbane State School,877,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),18807.5,19918,94.4%
Eatons Hill State School,593,2011,State School,Primary,Metropolitan,Metropolitan,Moreton Bay (R),92843.5,98782,94.0%
Eatons Hill State School,593,2012,State School,Primary,Metropolitan,Metropolitan,Moreton Bay (R),94342.5,99883,94.5%
Eatons Hill State School,593,2013,State School,Primary,Metropolitan,Metropolitan,Moreton Bay (R),90100.5,95336,94.5%
Eatons Hill State School,593,2014,State School,Primary,Metropolitan,Metropolitan,Moreton Bay (R),97747.5,103493,94.4%
Eatons Hill State School,593,2015,State School,Primary,Metropolitan,Metropolitan,Moreton Bay (R),96625.5,102167,94.6%
Edens Landing State School,301,2011,State School,Primary,Metropolitan,South East,Logan (C),64747.5,70278,92.1%
Edens Landing State School,301,2012,State School,Primary,Metropolitan,South East,Logan (C),63500,68798.5,92.3%
Edens Landing State School,301,2013,State School,Primary,Metropolitan,South East,Logan (C),62031,67334,92.1%
Edens Landing State School,301,2014,State School,Primary,Metropolitan,South East,Logan (C),65400.5,71449,91.5%
Edens Landing State School,301,2015,State School,Primary,Metropolitan,South East,Logan (C),67800,74411,91.1%
Edge Hill State School,235,2011,State School,Primary,Metropolitan,Far North Queensland,Cairns (R),87229,92505,94.3%
Edge Hill State School,235,2012,State School,Primary,Metropolitan,Far North Queensland,Cairns (R),88877,93994,94.6%
Edge Hill State School,235,2013,State School,Primary,Metropolitan,Far North Queensland,Cairns (R),89788,95758.5,93.8%
Edge Hill State School,235,2014,State School,Primary,Metropolitan,Far North Queensland,Cairns (R),97388.5,103889,93.7%
Edge Hill State School,235,2015,State School,Primary,Metropolitan,Far North Queensland,Cairns (R),95445,100832,94.7%
Eidsvold State School,581,2011,State School,Combined,Rural,Central Queensland,North Burnett (R),6340.5,6994,90.7%
Eidsvold State School,581,2012,State School,Combined,Rural,Central Queensland,North Burnett (R),6142.5,6772,90.7%
Eidsvold State School,581,2013,State School,Combined,Rural,Central Queensland,North Burnett (R),6434,7124.5,90.3%
Eidsvold State School,581,2014,State School,Combined,Rural,Central Queensland,North Burnett (R),6882,7518,91.5%
Eidsvold State School,581,2015,State School,Combined,Rural,Central Queensland,North Burnett (R),7183.5,7826,91.8%
Eight Mile Plains State School,34,2011,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),14924.5,16220,92.0%
Eight Mile Plains State School,34,2012,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),16840.5,18000,93.6%
Eight Mile Plains State School,34,2013,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),17081,18756,91.1%
Eight Mile Plains State School,34,2014,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),23115.5,25099,92.1%
Eight Mile Plains State School,34,2015,State School,Primary,Metropolitan,Metropolitan,Brisbane (C),24849,26446,94.0%
Eimeo Road State School,545,2011,State School,Primary,Provincial City,Central Queensland,Mackay (R),68718.5,76042,90.4%
Eimeo Road State School,545,2012,State School,Primary,Provincial City,Central Queensland,Mackay (R),76295.5,82427.5,92.6%
Eimeo Road State School,545,2013,State School,Primary,Provincial City,Central Queensland,Mackay (R),71505,76397,93.6%
Eimeo Road State School,545,2014,State School,Primary,Provincial City,Central Queensland,Mackay (R),84119.5,89199,94.3%
Eimeo Road State School,545,2015,State School,Primary,Provincial City,Central Queensland,Mackay (R),86134,91644,94.0%
El Arish State School,1758,2011,State School,Primary,Rural,Far North Queensland,Cassowary Coast (R),2445,2827,86.5%
El Arish State School,1758,2012,State School,Primary,Rural,Far North Queensland,Cassowary Coast (R),3396.5,3606,94.2%
El Arish State School,1758,2013,State School,Primary,Rural,Far North Queensland,Cassowary Coast (R),3898,4245,91.8%
El Arish State School,1758,2014,State School,Primary,Rural,Far North Queensland,Cassowary Coast (R),5070,5387,94.1%
El Arish State School,1758,2015,State School,Primary,Rural,Far North Queensland,Cassowary Coast (R),4864,5270,92.3%
Elanora State High School,2183,2011,State High School,Secondary,Metropolitan,South East,Gold Coast (C),70490.5,78829,89.4%
Elanora State High School,2183,2012,State High School,Secondary,Metropolitan,South East,Gold Coast (C),64823,72209,89.8%
Elanora State High School,2183,2013,State High School,Secondary,Metropolitan,South East,Gold Coast (C),62132.5,69842.5,89.0%
Elanora State High School,2183,2014,State High School,Secondary,Metropolitan,South East,Gold Coast (C),67518,75947,88.9%
Elanora State High School,2183,2015,State High School,Secondary,Metropolitan,South East,Gold Coast (C),77202.5,86381,89.4%
Elanora State School,1923,2011,State School,Primary,Metropolitan,South East,Gold Coast (C),101507.5,109082,93.1%
Elanora State School,1923,2012,State School,Primary,Metropolitan,South East,Gold Coast (C),100158,108342,92.4%
Elanora State School,1923,2013,State School,Primary,Metropolitan,South East,Gold Coast (C),98482,106420,92.5%
Elanora State School,1923,2014,State School,Primary,Metropolitan,South East,Gold Coast (C),110196,118161,93.3%
Elanora State School,1923,2015,State School,Primary,Metropolitan,South East,Gold Coast (C),99087,106873,92.7%
Elimbah State School,953,2011,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),47242.5,50476,93.6%
Elimbah State School,953,2012,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),44090.5,46940,93.9%
Elimbah State School,953,2013,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),43879,46777,93.8%
Elimbah State School,953,2014,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),48176.5,52048,92.6%
Elimbah State School,953,2015,State School,Primary,Metropolitan,North Coast,Moreton Bay (R),46401,49823,93.1%
Elliott Heads State School,1347,2011,State School,Primary,Provincial City,North Coast,Bundaberg (R),5586,6100,91.6%
Elliott Heads State School,1347,2012,State School,Primary,Provincial City,North Coast,Bundaberg (R),7417,7881,94.1%
Elliott Heads State School,1347,2013,State School,Primary,Provincial City,North Coast,Bundaberg (R),7441,7971,93.4%
Elliott Heads State School,1347,2014,State School,Primary,Provincial City,North Coast,Bundaberg (R),8479.5,9028,93.9%
Elliott Heads State School,1347,2015,State School,Primary,Provincial City,North Coast,Bundaberg (R),7638.5,8096,94.3%
Emerald North State School,1904,2011,State School,Primary,Rural,Central Queensland,Central Highlands (R),20754,23172,89.6%
Emerald North State School,1904,2012,State School,Primary,Rural,Central Queensland,Central Highlands (R),21951,24542,89.4%
Emerald North State School,1904,2013,State School,Primary,Rural,Central Queensland,Central Highlands (R),23199,25686.5,90.3%
Emerald North State School,1904,2014,State School,Primary,Rural,Central Queensland,Central Highlands (R),26348.5,29284,90.0%
Emerald North State School,1904,2015,State School,Primary,Rural,Central Queensland,Central Highlands (R),24477,26981,90.7%
Emerald State High School,2122,2011,State High School,Secondary,Rural,Central Queensland,Central Highlands (R),47536,55307,85.9%
Emerald State High School,2122,2012,State High School,Secondary,Rural,Central Queensland,Central Highlands (R),47381,54381.5,87.1%
Emerald State High School,2122,2013,State High School,Secondary,Rural,Central Queensland,Central Highlands (R),49458,56258.5,87.9%
